DATE,ATM_ID,CLIENT_OUT
2015-01-01,12,600
2015-01-02,12,300
2015-01-03,12,10000
2015-01-04,12,2800
2015-01-05,12,29800
2015-01-06,12,2400
2015-01-07,12,8500
2015-01-08,12,2200
2015-01-09,12,2800
2015-01-10,12,8700
2015-01-11,12,21600
2015-01-12,12,106200
2015-01-13,12,87500
2015-01-14,12,121600
2015-01-15,12,477200
2015-01-16,12,251200
2015-01-17,12,26100
2015-01-18,12,14900
2015-01-19,12,76900
2015-01-20,12,168400
2015-01-21,12,88000
2015-01-22,12,119900
2015-01-23,12,88100
2015-01-24,12,50800
2015-01-25,12,2800
2015-01-26,12,73500
2015-01-27,12,110800
2015-01-28,12,62200
2015-01-29,12,195900
2015-01-30,12,165800
2015-01-31,12,18700
2015-02-01,12,9800
2015-02-02,12,69900
2015-02-03,12,174200
2015-02-04,12,74000
2015-02-05,12,85600
2015-02-06,12,203700
2015-02-07,12,9100
2015-02-08,12,10800
2015-02-09,12,125300
2015-02-10,12,58900
2015-02-11,12,81700
2015-02-12,12,257200
2015-02-13,12,499800
2015-02-14,12,34400
2015-02-15,12,29700
2015-02-16,12,196000
2015-02-17,12,257700
2015-02-18,12,100800
2015-02-19,12,87800
2015-02-20,12,77400
2015-02-21,12,21100
2015-02-22,12,2200
2015-02-23,12,3100
2015-02-24,12,134100
2015-02-25,12,129500
2015-02-26,12,81600
2015-02-27,12,270500
2015-02-28,12,59500
2015-03-01,12,38700
2015-03-02,12,95900
2015-03-03,12,180500
2015-03-04,12,129400
2015-03-05,12,133800
2015-03-06,12,121700
2015-03-07,12,20000
2015-03-08,12,6500
2015-03-09,12,18400
2015-03-10,12,133700
2015-03-11,12,102200
2015-03-12,12,69900
2015-03-13,12,491800
2015-03-14,12,57800
2015-03-15,12,52000
2015-03-16,12,134700
2015-03-17,12,134800
2015-03-18,12,91200
2015-03-19,12,152500
2015-03-20,12,75400
2015-03-21,12,18200
2015-03-22,12,6800
2015-03-23,12,182000
2015-03-24,12,137800
2015-03-25,12,192400
2015-03-26,12,129600
2015-03-27,12,93500
2015-03-28,12,17800
2015-03-29,12,36500
2015-03-30,12,54400
2015-03-31,12,155900
2015-04-01,12,210200
2015-04-02,12,157200
2015-04-03,12,175200
2015-04-04,12,18600
2015-04-05,12,5400
2015-04-06,12,80000
2015-04-07,12,60200
2015-04-08,12,104700
2015-04-09,12,83600
2015-04-10,12,169300
2015-04-11,12,29100
2015-04-12,12,32600
2015-04-13,12,55600
2015-04-14,12,92500
2015-04-15,12,535000
2015-04-16,12,238600
2015-04-17,12,139600
2015-04-18,12,52500
2015-04-19,12,15600
2015-04-20,12,122800
2015-04-21,12,157200
2015-04-22,12,141300
2015-04-23,12,122700
2015-04-24,12,142600
2015-04-25,12,29000
2015-04-26,12,40100
2015-04-27,12,111600
2015-04-28,12,132300
2015-04-29,12,190100
2015-04-30,12,294300
2015-05-01,12,20900
2015-05-02,12,12000
2015-05-03,12,1500
2015-05-04,12,18100
2015-05-05,12,20400
2015-05-06,12,42600
2015-05-07,12,33600
2015-05-08,12,100400
2015-05-09,12,16700
2015-05-10,12,22300
2015-05-11,12,4200
2015-05-12,12,58600
2015-05-13,12,316400
2015-05-14,12,161000
2015-05-15,12,56600
2015-05-16,12,4700
2015-05-17,12,13100
2015-05-18,12,141100
2015-05-19,12,183000
2015-05-20,12,297500
2015-05-21,12,151200
2015-05-22,12,165300
2015-05-23,12,25300
2015-05-24,12,6700
2015-05-25,12,83800
2015-05-26,12,151800
2015-05-27,12,127700
2015-05-28,12,105200
2015-05-29,12,88500
2015-05-30,12,23800
2015-05-31,12,12500
2015-06-01,12,68700
2015-06-02,12,162800
2015-06-03,12,90000
2015-06-04,12,173100
2015-06-05,12,43900
2015-06-06,12,6600
2015-06-07,12,1100
2015-06-08,12,81200
2015-06-09,12,95000
2015-06-10,12,108400
2015-06-11,12,129100
2015-06-12,12,29200
2015-06-13,12,8300
2015-06-14,12,11900
2015-06-15,12,130700
2015-06-16,12,160300
2015-06-17,12,56100
2015-06-18,12,144400
2015-06-19,12,88600
