DATE,ATM_ID,CLIENT_OUT
2017-08-16,1,437100
2017-08-17,1,315500
2017-08-18,1,626800
2017-08-19,1,193100
2017-08-20,1,0
2017-08-21,1,371300
2017-08-22,1,308100
2017-08-23,1,353200
2017-08-24,1,291700
2017-08-25,1,500100
2017-08-26,1,311000
2017-08-27,1,0
2017-08-28,1,872600
2017-08-29,1,344100
2017-08-30,1,405600
2017-08-31,1,547900
2017-09-01,1,468500
2017-09-02,1,188900
2017-09-03,1,0
2017-09-04,1,662700
2017-09-05,1,1119400
2017-09-06,1,776200
2017-09-07,1,615800
2017-09-08,1,0
2017-09-09,1,0
2017-09-10,1,0
2017-09-11,1,0
2017-09-12,1,77900
2017-09-13,1,467900
2017-09-14,1,665800
2017-09-15,1,670700
2017-09-16,1,295600
2017-09-17,1,0
2017-08-16,13,479600
2017-08-17,13,476700
2017-08-18,13,582800
2017-08-19,13,296700
2017-08-20,13,0
2017-08-21,13,0
2017-08-22,13,371500
2017-08-23,13,370700
2017-08-24,13,338500
2017-08-25,13,545800
2017-08-26,13,263000
2017-08-27,13,0
2017-08-28,13,0
2017-08-29,13,444800
2017-08-30,13,0
2017-08-31,13,453500
2017-09-01,13,685700
2017-09-02,13,482600
2017-09-03,13,0
2017-09-04,13,0
2017-09-05,13,384400
2017-09-06,13,108300
2017-09-07,13,832300
2017-09-08,13,1199700
2017-09-09,13,438700
2017-09-10,13,0
2017-09-11,13,0
2017-09-12,13,328200
2017-09-13,13,637300
2017-09-14,13,634500
2017-09-15,13,467000
2017-09-16,13,374900
2017-09-17,13,0
2017-08-16,15,145500
2017-08-17,15,407500
2017-08-18,15,47800
2017-08-19,15,26800
2017-08-20,15,0
2017-08-21,15,13200
2017-08-22,15,179800
2017-08-23,15,93000
2017-08-24,15,146900
2017-08-25,15,193900
2017-08-26,15,49700
2017-08-27,15,13200
2017-08-28,15,108900
2017-08-29,15,232400
2017-08-30,15,177400
2017-08-31,15,197200
2017-09-01,15,39200
2017-09-02,15,16400
2017-09-03,15,9900
2017-09-04,15,93900
2017-09-05,15,202100
2017-09-06,15,111700
2017-09-07,15,222900
2017-09-08,15,151100
2017-09-09,15,120300
2017-09-10,15,9400
2017-09-11,15,215800
2017-09-12,15,73400
2017-09-13,15,141400
2017-09-14,15,133400
2017-09-15,15,52900
2017-09-16,15,116600
2017-09-17,15,48700
2017-08-16,20,1685700
2017-08-17,20,774700
2017-08-18,20,1561500
2017-08-19,20,984000
2017-08-20,20,535000
2017-08-21,20,1007200
2017-08-22,20,964000
2017-08-23,20,913000
2017-08-24,20,1286300
2017-08-25,20,965000
2017-08-26,20,814500
2017-08-27,20,916700
2017-08-28,20,1622300
2017-08-29,20,809500
2017-08-30,20,675300
2017-08-31,20,718700
2017-09-01,20,1154500
2017-09-02,20,674700
2017-09-03,20,650800
2017-09-04,20,1059700
2017-09-05,20,1019500
2017-09-06,20,1808800
2017-09-07,20,1299700
2017-09-08,20,2018200
2017-09-09,20,1007300
2017-09-10,20,1411200
2017-09-11,20,824500
2017-09-12,20,785500
2017-09-13,20,0
2017-09-14,20,687700
2017-09-15,20,1073000
2017-09-16,20,623200
2017-09-17,20,660300
2017-08-16,42,245500
2017-08-17,42,185600
2017-08-18,42,347900
2017-08-19,42,194700
2017-08-20,42,234600
2017-08-21,42,242300
2017-08-22,42,267800
2017-08-23,42,123000
2017-08-24,42,76700
2017-08-25,42,287700
2017-08-26,42,259500
2017-08-27,42,186800
2017-08-28,42,126000
2017-08-29,42,302800
2017-08-30,42,346200
2017-08-31,42,298600
2017-09-01,42,285400
2017-09-02,42,301800
2017-09-03,42,203200
2017-09-04,42,336200
2017-09-05,42,307900
2017-09-06,42,383700
2017-09-07,42,278000
2017-09-08,42,435000
2017-09-09,42,309200
2017-09-10,42,235800
2017-09-11,42,286600
2017-09-12,42,331700
2017-09-13,42,356900
2017-09-14,42,234800
2017-09-15,42,172300
2017-09-16,42,308900
2017-09-17,42,187300
2017-08-16,46,84700
2017-08-17,46,174400
2017-08-18,46,60400
2017-08-19,46,6200
2017-08-20,46,0
2017-08-21,46,129300
2017-08-22,46,209500
2017-08-23,46,117700
2017-08-24,46,96100
2017-08-25,46,63800
2017-08-26,46,19100
2017-08-27,46,1700
2017-08-28,46,120600
2017-08-29,46,105600
2017-08-30,46,207200
2017-08-31,46,126300
2017-09-01,46,146600
2017-09-02,46,8900
2017-09-03,46,0
2017-09-04,46,82100
2017-09-05,46,140400
2017-09-06,46,207600
2017-09-07,46,236700
2017-09-08,46,131800
2017-09-09,46,17600
2017-09-10,46,200
2017-09-11,46,170900
2017-09-12,46,209900
2017-09-13,46,33100
2017-09-14,46,153500
2017-09-15,46,116600
2017-09-16,46,18600
2017-09-17,46,0
2017-08-16,59,794600
2017-08-17,59,1038700
2017-08-18,59,813200
2017-08-19,59,266700
2017-08-20,59,0
2017-08-21,59,490700
2017-08-22,59,477300
2017-08-23,59,363000
2017-08-24,59,764800
2017-08-25,59,609600
2017-08-26,59,513600
2017-08-27,59,0
2017-08-28,59,1670200
2017-08-29,59,886900
2017-08-30,59,478000
2017-08-31,59,913800
2017-09-01,59,1315600
2017-09-02,59,263900
2017-09-03,59,0
2017-09-04,59,995500
2017-09-05,59,1668200
2017-09-06,59,830000
2017-09-07,59,1083900
2017-09-08,59,1019800
2017-09-09,59,311200
2017-09-10,59,0
2017-09-11,59,795900
2017-09-12,59,1001200
2017-09-13,59,629800
2017-09-14,59,602800
2017-09-15,59,1617500
2017-09-16,59,584100
2017-09-17,59,0
2017-08-16,104,994700
2017-08-17,104,1218200
2017-08-18,104,1522100
2017-08-19,104,132000
2017-08-20,104,78500
2017-08-21,104,920400
2017-08-22,104,986900
2017-08-23,104,809500
2017-08-24,104,1319500
2017-08-25,104,1473400
2017-08-26,104,357100
2017-08-27,104,216200
2017-08-28,104,563000
2017-08-29,104,998500
2017-08-30,104,1053600
2017-08-31,104,515900
2017-09-01,104,1604400
2017-09-02,104,252400
2017-09-03,104,143200
2017-09-04,104,1256100
2017-09-05,104,1119000
2017-09-06,104,1357100
2017-09-07,104,1239000
2017-09-08,104,1406200
2017-09-09,104,197700
2017-09-10,104,204500
2017-09-11,104,1162700
2017-09-12,104,1303000
2017-09-13,104,1292600
2017-09-14,104,948700
2017-09-15,104,1791800
2017-09-16,104,541700
2017-09-17,104,304600
2017-08-16,121,566700
2017-08-17,121,561700
2017-08-18,121,763800
2017-08-19,121,435900
2017-08-20,121,363600
2017-08-21,121,334000
2017-08-22,121,531300
2017-08-23,121,640800
2017-08-24,121,563200
2017-08-25,121,580700
2017-08-26,121,289400
2017-08-27,121,254600
2017-08-28,121,497800
2017-08-29,121,506600
2017-08-30,121,570300
2017-08-31,121,526100
2017-09-01,121,592500
2017-09-02,121,382700
2017-09-03,121,261300
2017-09-04,121,546600
2017-09-05,121,766300
2017-09-06,121,938800
2017-09-07,121,608000
2017-09-08,121,637100
2017-09-09,121,354500
2017-09-10,121,342400
2017-09-11,121,515900
2017-09-12,121,662900
2017-09-13,121,549700
2017-09-14,121,491700
2017-09-15,121,593300
2017-09-16,121,338600
2017-09-17,121,344000
2017-08-16,130,92100
2017-08-17,130,270100
2017-08-18,130,341000
2017-08-19,130,246100
2017-08-20,130,166100
2017-08-21,130,293600
2017-08-22,130,273500
2017-08-23,130,257100
2017-08-24,130,277800
2017-08-25,130,405000
2017-08-26,130,214100
2017-08-27,130,262600
2017-08-28,130,165800
2017-08-29,130,259200
2017-08-30,130,188300
2017-08-31,130,367700
2017-09-01,130,325500
2017-09-02,130,248800
2017-09-03,130,209400
2017-09-04,130,344900
2017-09-05,130,448200
2017-09-06,130,442900
2017-09-07,130,437500
2017-09-08,130,434200
2017-09-09,130,87700
2017-09-10,130,0
2017-09-11,130,0
2017-09-12,130,0
2017-09-13,130,0
2017-09-14,130,0
2017-09-15,130,0
2017-09-16,130,0
2017-09-17,130,0
2017-08-16,132,77000
2017-08-17,132,60200
2017-08-18,132,87100
2017-08-19,132,6300
2017-08-20,132,3700
2017-08-21,132,236300
2017-08-22,132,141900
2017-08-23,132,233700
2017-08-24,132,134200
2017-08-25,132,283400
2017-08-26,132,7500
2017-08-27,132,19800
2017-08-28,132,123500
2017-08-29,132,198900
2017-08-30,132,126400
2017-08-31,132,260900
2017-09-01,132,311300
2017-09-02,132,1000
2017-09-03,132,100
2017-09-04,132,153600
2017-09-05,132,68700
2017-09-06,132,76300
2017-09-07,132,83000
2017-09-08,132,218000
2017-09-09,132,51900
2017-09-10,132,19400
2017-09-11,132,336300
2017-09-12,132,495500
2017-09-13,132,120700
2017-09-14,132,140600
2017-09-15,132,113800
2017-09-16,132,18500
2017-09-17,132,800
2017-08-16,134,498100
2017-08-17,134,176500
2017-08-18,134,643200
2017-08-19,134,9300
2017-08-20,134,1900
2017-08-21,134,205900
2017-08-22,134,240600
2017-08-23,134,152900
2017-08-24,134,140900
2017-08-25,134,211500
2017-08-26,134,29800
2017-08-27,134,2400
2017-08-28,134,305400
2017-08-29,134,114400
2017-08-30,134,75600
2017-08-31,134,666400
2017-09-01,134,458300
2017-09-02,134,9000
2017-09-03,134,7300
2017-09-04,134,343100
2017-09-05,134,223900
2017-09-06,134,176300
2017-09-07,134,254700
2017-09-08,134,304500
2017-09-09,134,18500
2017-09-10,134,3700
2017-09-11,134,354600
2017-09-12,134,375200
2017-09-13,134,293300
2017-09-14,134,236900
2017-09-15,134,765700
2017-09-16,134,14700
2017-09-17,134,1900
2017-08-16,135,369100
2017-08-17,135,97300
2017-08-18,135,193100
2017-08-19,135,279800
2017-08-20,135,279700
2017-08-21,135,111000
2017-08-22,135,313800
2017-08-23,135,296500
2017-08-24,135,218700
2017-08-25,135,161500
2017-08-26,135,205300
